trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
84,False,"{'a': 0.3281774884144216, 'e': 0.4298890135238936}",25,7,14.040322881425942,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.3265366009723495, 'e': 0.42559012338865465}",20,13,1.448033584898969,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.32490391796748774, 'e': 0.4213342221547681}",35,10,-48.007239563039256,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",1
87,False,"{'a': 0.3232793983776503, 'e': 0.41712087993322045}",20,0,-35.96787440996295,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
88,False,"{'a': 0.32166300138576204, 'e': 0.41294967113388825}",20,13,2.2912465037111946,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.3200546863788332, 'e': 0.40882017442254937}",25,13,-36.20945759266002,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
90,False,"{'a': 0.31845441294693905, 'e': 0.4047319726783239}",30,24,10.042229067722083,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.3168621408822043, 'e': 0.40068465295154065}",20,6,-10.149639108433004,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
92,False,"{'a': 0.3152778301777933, 'e': 0.39667780642202527}",20,8,-1.2266551084193598,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
93,False,"{'a': 0.31370144102690434, 'e': 0.392711028357805}",30,0,-55.03400622243545,"{0: 25, 1: 1, 2: 1, 3: 2, 4: 1}",0
94,False,"{'a': 0.3121329338217698, 'e': 0.38878391807422696}",30,20,-0.11480810823847132,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.31057226915266095, 'e': 0.3848960788934847}",20,1,6.069716098496321,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
96,False,"{'a': 0.30901940780689763, 'e': 0.38104711810454983}",25,12,-33.90002602075232,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 1}",1
97,False,"{'a': 0.30747431076786313, 'e': 0.37723664692350434}",25,0,-105.1021708393116,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
98,False,"{'a': 0.3059369392140238, 'e': 0.37346428045426927}",35,24,9.547321017545608,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.3044072545179537, 'e': 0.36972963764972655}",20,0,25.104304029950534,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
100,False,"{'a': 0.3028852182453639, 'e': 0.36603234127322926}",20,0,-19.888292707481284,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
101,False,"{'a': 0.3013707921541371, 'e': 0.36237201786049694}",20,10,6.686883877921574,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.29986393819336643, 'e': 0.358748297681892}",20,8,-65.51719101821753,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 1}",1
103,False,"{'a': 0.2983646185023996, 'e': 0.35516081470507305}",30,1,-48.24549483754858,"{0: 24, 1: 2, 2: 1, 3: 1, 4: 1}",1
104,False,"{'a': 0.2968727954098876, 'e': 0.3516092065580223}",25,11,18.84465032058513,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.29538843143283816, 'e': 0.34809311449244207}",25,3,-16.997620041970954,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
106,False,"{'a': 0.29391148927567395, 'e': 0.34461218334751764}",20,3,-97.74912471314789,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 3}",1
